FID,geom,longitud,latitud,profundida,magnitud__,fecha,hora_utc,clasif
sis_igp_2017.273,POINT (-73.5522 -14.5429),-73.5522,-14.5429,13,3.4,28/09/2017,01:26:55,Superficial
sis_igp_2017.274,POINT (-76.3455 -11.8854),-76.3455,-11.8854,13,3.5,29/09/2017,22:59:59,Superficial
sis_igp_2017.275,POINT (-76.3257 -11.9203),-76.3257,-11.9203,17,3.5,30/09/2017,20:22:20,Superficial
sis_igp_2017.276,POINT (-76.3205 -11.8881),-76.3205,-11.8881,17,3.7,02/10/2017,21:57:03,Superficial
sis_igp_2017.277,POINT (-73.5755 -14.5879),-73.5755,-14.5879,10,3.5,05/10/2017,02:14:12,Superficial
sis_igp_2017.278,POINT (-80.8156 -4.2772),-80.8156,-4.2772,47,4.7,06/10/2017,15:32:08,Superficial
sis_igp_2017.279,POINT (-75.4905 -9.6382),-75.4905,-9.6382,118,4.4,08/10/2017,21:33:20,Intermedio
sis_igp_2017.280,POINT (-70.9215 -17.3019),-70.9215,-17.3019,16,3.6,09/10/2017,00:51:58,Superficial
sis_igp_2017.281,POINT (-77.329 -12.3219),-77.329,-12.3219,42,3.5,09/10/2017,05:51:04,Superficial
sis_igp_2017.282,POINT (-69.9668 -18.7025),-69.9668,-18.7025,92,6.3,10/10/2017,06:32:22,Intermedio
sis_igp_2017.283,POINT (-69.9521 -18.6825),-69.9521,-18.6825,92,4.8,10/10/2017,07:04:46,Intermedio
sis_igp_2017.284,POINT (-73.5505 -14.5357),-73.5505,-14.5357,14,3.5,11/10/2017,10:16:38,Superficial
sis_igp_2017.285,POINT (-77.0019 -12.6869),-77.0019,-12.6869,52,4,13/10/2017,10:05:41,Superficial
sis_igp_2017.286,POINT (-73.5767 -14.5562),-73.5767,-14.5562,14,3.7,13/10/2017,18:11:08,Superficial
sis_igp_2017.287,POINT (-73.5173 -14.5478),-73.5173,-14.5478,13,3.5,14/10/2017,06:16:10,Superficial
sis_igp_2017.288,POINT (-76.3457 -11.9106),-76.3457,-11.9106,22,4.3,14/10/2017,19:36:04,Superficial
sis_igp_2017.289,POINT (-76.3341 -11.9119),-76.3341,-11.9119,19,3.5,15/10/2017,09:49:33,Superficial
sis_igp_2017.290,POINT (-80.2975 -5.4798),-80.2975,-5.4798,58,4,19/10/2017,03:21:46,Superficial
sis_igp_2017.291,POINT (-72.5647 -16.6558),-72.5647,-16.6558,45,3.6,19/10/2017,15:23:38,Superficial
sis_igp_2017.292,POINT (-73.5527 -14.5783),-73.5527,-14.5783,14,3.6,19/10/2017,21:04:14,Superficial
sis_igp_2017.293,POINT (-73.5613 -16.5851),-73.5613,-16.5851,16,4.3,21/10/2017,21:38:27,Superficial
sis_igp_2017.294,POINT (-79.3 -9.1377),-79.3,-9.1377,47,4.4,22/10/2017,00:09:17,Superficial
sis_igp_2017.295,POINT (-74.143 -15.329),-74.143,-15.329,116,4.9,22/10/2017,01:37:06,Intermedio
sis_igp_2017.296,POINT (-75.715 -5.3851),-75.715,-5.3851,50,4.5,22/10/2017,07:48:07,Superficial
sis_igp_2017.297,POINT (-77.4528 -12.4138),-77.4528,-12.4138,34,4.7,23/10/2017,00:09:11,Superficial
sis_igp_2017.298,POINT (-73.5423 -14.5761),-73.5423,-14.5761,7,3.4,23/10/2017,09:20:58,Superficial
sis_igp_2017.299,POINT (-70.4029 -17.7335),-70.4029,-17.7335,43,3.8,24/10/2017,16:12:36,Superficial
sis_igp_2017.300,POINT (-70.4029 -17.7335),-70.4029,-17.7335,34,4.3,24/10/2017,20:59:46,Superficial
sis_igp_2017.301,POINT (-77.0338 -12.0343),-77.0338,-12.0343,90,3.6,25/10/2017,07:58:51,Intermedio
sis_igp_2017.302,POINT (-80.7826 -4.021),-80.7826,-4.021,30,4.3,26/10/2017,13:57:04,Superficial
sis_igp_2017.303,POINT (-80.2262 -8.4743),-80.2262,-8.4743,35,4.7,27/10/2017,03:48:24,Superficial
sis_igp_2017.304,POINT (-73.4608 -16.4234),-73.4608,-16.4234,27,4.6,29/10/2017,05:29:59,Superficial
sis_igp_2017.305,POINT (-74.8145 -10.8073),-74.8145,-10.8073,112,5.6,30/10/2017,17:12:07,Intermedio
sis_igp_2017.306,POINT (-73.6046 -14.5457),-73.6046,-14.5457,6,3.3,30/10/2017,22:25:39,Superficial
sis_igp_2017.307,POINT (-76.335 -11.8978),-76.335,-11.8978,10,3.4,30/10/2017,22:53:06,Superficial
sis_igp_2017.308,POINT (-77.6322 -11.8017),-77.6322,-11.8017,47,4.3,01/11/2017,03:36:03,Superficial
sis_igp_2017.309,POINT (-75.709 -8.5813),-75.709,-8.5813,14,4.1,01/11/2017,04:27:49,Superficial
sis_igp_2017.310,POINT (-78.1243 -11.1948),-78.1243,-11.1948,47,4.1,01/11/2017,14:19:49,Superficial
sis_igp_2017.311,POINT (-76.3839 -11.9416),-76.3839,-11.9416,23,3.9,02/11/2017,00:07:48,Superficial
sis_igp_2017.312,POINT (-71.8577 -15.6774),-71.8577,-15.6774,10,3.1,02/11/2017,02:46:04,Superficial
sis_igp_2017.313,POINT (-74.1825 -16.0671),-74.1825,-16.0671,10,3.5,03/11/2017,05:32:30,Superficial
sis_igp_2017.314,POINT (-74.3117 -8.61),-74.3117,-8.61,155,5.1,05/11/2017,22:49:34,Intermedio
sis_igp_2017.315,POINT (-75.3966 -14.9442),-75.3966,-14.9442,63,4.4,08/11/2017,08:48:31,Intermedio
sis_igp_2017.316,POINT (-77.0244 -13.5202),-77.0244,-13.5202,48,4.7,08/11/2017,20:13:12,Superficial
sis_igp_2017.317,POINT (-71.3603 -17.3141),-71.3603,-17.3141,21,3.7,09/11/2017,04:42:05,Superficial
sis_igp_2017.318,POINT (-76.1899 -13.6057),-76.1899,-13.6057,53,3.8,09/11/2017,23:49:33,Superficial
sis_igp_2017.319,POINT (-72.1133 -16.2467),-72.1133,-16.2467,118,4.2,12/11/2017,12:10:31,Intermedio
sis_igp_2017.320,POINT (-76.363 -11.9126),-76.363,-11.9126,15,3.6,14/11/2017,06:07:46,Superficial
sis_igp_2017.321,POINT (-75.5676 -14.5779),-75.5676,-14.5779,42,4.4,15/11/2017,00:58:11,Superficial
sis_igp_2017.322,POINT (-80.961 -7.2431),-80.961,-7.2431,29,4.7,16/11/2017,00:33:16,Superficial
sis_igp_2017.323,POINT (-76.3798 -11.9347),-76.3798,-11.9347,24,3.8,17/11/2017,10:02:13,Superficial
sis_igp_2017.324,POINT (-80.0122 -2.4371),-80.0122,-2.4371,75,5.4,17/11/2017,13:40:41,Intermedio
sis_igp_2017.325,POINT (-79.621 -2.9936),-79.621,-2.9936,35,5.5,18/11/2017,04:23:44,Superficial
sis_igp_2017.326,POINT (-80.8244 -4.2736),-80.8244,-4.2736,29,4.5,19/11/2017,03:35:45,Superficial
sis_igp_2017.327,POINT (-71.6198 -15.6427),-71.6198,-15.6427,8,3.6,19/11/2017,17:33:30,Superficial
sis_igp_2017.328,POINT (-76.3462 -11.8983),-76.3462,-11.8983,13,3.5,21/11/2017,02:19:45,Superficial
sis_igp_2017.329,POINT (-77.1616 -12.541),-77.1616,-12.541,37,3.7,23/11/2017,08:26:09,Superficial
sis_igp_2017.330,POINT (-75.8471 -14.4626),-75.8471,-14.4626,45,4,24/11/2017,04:40:39,Superficial
sis_igp_2017.331,POINT (-77.6307 -12.0739),-77.6307,-12.0739,41,4.1,24/11/2017,07:24:25,Superficial
sis_igp_2017.332,POINT (-74.5932 -8.7397),-74.5932,-8.7397,156,5.1,24/11/2017,14:04:56,Intermedio
sis_igp_2017.333,POINT (-76.2506 -12.1577),-76.2506,-12.1577,110,4.7,24/11/2017,16:15:51,Intermedio
sis_igp_2017.334,POINT (-76.2096 -13.5958),-76.2096,-13.5958,34,4,26/11/2017,22:19:02,Superficial
sis_igp_2017.335,POINT (-73.5814 -14.5735),-73.5814,-14.5735,6,3.6,27/11/2017,00:42:20,Superficial
sis_igp_2017.336,POINT (-76.3724 -14.5773),-76.3724,-14.5773,12,5.6,29/11/2017,06:29:03,Superficial
sis_igp_2017.337,POINT (-73.5369 -14.5556),-73.5369,-14.5556,7,3.3,29/11/2017,08:11:30,Superficial
sis_igp_2017.338,POINT (-76.3439 -14.5458),-76.3439,-14.5458,10,4.5,29/11/2017,14:28:15,Superficial
sis_igp_2017.339,POINT (-80.7566 -5.5555),-80.7566,-5.5555,33,3.9,29/11/2017,21:16:44,Superficial
sis_igp_2017.340,POINT (-77.5594 -9.5125),-77.5594,-9.5125,8,3.6,29/11/2017,21:23:29,Superficial
sis_igp_2017.341,POINT (-75.7068 -15.3981),-75.7068,-15.3981,47,4.6,03/12/2017,07:51:26,Superficial
sis_igp_2017.342,POINT (-80.231 -4.3129),-80.231,-4.3129,28,4.7,07/12/2017,02:37:43,Superficial
sis_igp_2017.343,POINT (-79.263 -8.4329),-79.263,-8.4329,58,3.9,08/12/2017,05:42:52,Superficial
sis_igp_2017.344,POINT (-72.8885 -15.9106),-72.8885,-15.9106,15,3.9,10/12/2017,13:03:17,Superficial
sis_igp_2017.345,POINT (-70.8465 -18.1743),-70.8465,-18.1743,24,3.8,11/12/2017,05:45:38,Superficial
sis_igp_2017.346,POINT (-73.0487 -16.5622),-73.0487,-16.5622,44,3.8,12/12/2017,23:30:23,Superficial
sis_igp_2017.347,POINT (-75.8804 -9.0768),-75.8804,-9.0768,13,4.8,15/12/2017,11:10:55,Superficial
sis_igp_2017.348,POINT (-72.0526 -16.4092),-72.0526,-16.4092,32,3.8,20/12/2017,10:39:34,Superficial
sis_igp_2017.349,POINT (-76.0274 -11.1861),-76.0274,-11.1861,14,3.7,20/12/2017,13:31:54,Superficial
sis_igp_2017.350,POINT (-74.4806 -14.2797),-74.4806,-14.2797,96,4.8,24/12/2017,19:33:21,Intermedio
sis_igp_2017.351,POINT (-77.8182 -11.3628),-77.8182,-11.3628,61,4.1,24/12/2017,02:17:11,Intermedio
sis_igp_2017.352,POINT (-69.5905 -17.6806),-69.5905,-17.6806,160,4.8,26/12/2017,15:26:11,Intermedio
sis_igp_2017.353,POINT (-79.6627 -5.7972),-79.6627,-5.7972,108,4.8,26/12/2017,18:47:32,Intermedio
sis_igp_2017.354,POINT (-74.4601 -13.0981),-74.4601,-13.0981,73,4.7,27/12/2017,07:14:48,Intermedio
sis_igp_2017.355,POINT (-69.8293 -19.3966),-69.8293,-19.3966,138,5.3,30/12/2017,08:20:49,Intermedio
