FID,geom,longitud,latitud,profundida,magnitud__,fecha,hora_utc,clasif
sis_igp_2017.112,POINT (-74.2768 -15.1134),-74.2768,-15.1134,112,4.3,21/04/2017,02:07:55,Intermedio
sis_igp_2017.113,POINT (-74.1921 -15.8388),-74.1921,-15.8388,85,4,25/04/2017,04:05:53,Intermedio
sis_igp_2017.114,POINT (-71.8956 -15.6922),-71.8956,-15.6922,11,5.2,30/04/2017,13:29:06,Superficial
sis_igp_2017.115,POINT (-71.8712 -15.6853),-71.8712,-15.6853,10,3.4,30/04/2017,14:07:15,Superficial
sis_igp_2017.116,POINT (-71.9557 -15.6987),-71.9557,-15.6987,12,4.5,30/04/2017,17:35:50,Superficial
sis_igp_2017.117,POINT (-71.8867 -15.6549),-71.8867,-15.6549,14,3.6,01/05/2017,02:33:21,Superficial
sis_igp_2017.118,POINT (-79.2129 -9.2201),-79.2129,-9.2201,53,4.6,01/05/2017,09:52:31,Superficial
sis_igp_2017.119,POINT (-71.9502 -15.6937),-71.9502,-15.6937,9,3.7,01/05/2017,10:57:16,Superficial
sis_igp_2017.120,POINT (-71.9549 -15.6231),-71.9549,-15.6231,0,4.2,02/05/2017,14:54:32,Superficial
sis_igp_2017.121,POINT (-71.7012 -15.6408),-71.7012,-15.6408,7,3.7,02/05/2017,21:02:14,Superficial
sis_igp_2017.122,POINT (-73.5387 -16.3282),-73.5387,-16.3282,31,5,03/05/2017,12:42:47,Superficial
sis_igp_2017.123,POINT (-71.9032 -15.6218),-71.9032,-15.6218,12,3.7,03/05/2017,16:13:10,Superficial
sis_igp_2017.124,POINT (-77.404 -12.2436),-77.404,-12.2436,32,4,04/05/2017,00:05:49,Superficial
sis_igp_2017.125,POINT (-74.4207 -8.5539),-74.4207,-8.5539,185,5.7,04/05/2017,02:28:57,Intermedio
sis_igp_2017.126,POINT (-73.6668 -16.8902),-73.6668,-16.8902,20,4.9,06/05/2017,19:52:13,Superficial
sis_igp_2017.127,POINT (-76.786 -8.0132),-76.786,-8.0132,30,5.3,08/05/2017,08:08:18,Superficial
sis_igp_2017.128,POINT (-75.1485 -15.7457),-75.1485,-15.7457,40,4.4,09/05/2017,01:51:32,Superficial
sis_igp_2017.129,POINT (-72.0934 -15.7527),-72.0934,-15.7527,14,3.6,09/05/2017,19:55:20,Superficial
sis_igp_2017.130,POINT (-77.4535 -12.0679),-77.4535,-12.0679,31,3.9,11/05/2017,15:32:47,Superficial
sis_igp_2017.131,POINT (-79.0263 -9.5061),-79.0263,-9.5061,51,4.3,15/05/2017,23:12:19,Superficial
sis_igp_2017.132,POINT (-76.6082 -9.4052),-76.6082,-9.4052,153,4.4,16/05/2017,05:25:24,Intermedio
sis_igp_2017.133,POINT (-73.5957 -14.5794),-73.5957,-14.5794,12,5.2,16/05/2017,17:09:06,Superficial
sis_igp_2017.134,POINT (-80.1216 -4.7974),-80.1216,-4.7974,90,4.8,21/05/2017,10:14:16,Intermedio
sis_igp_2017.135,POINT (-76.3313 -13.467),-76.3313,-13.467,62,4.3,21/05/2017,11:43:15,Intermedio
sis_igp_2017.136,POINT (-70.5383 -16.2286),-70.5383,-16.2286,8,4.3,22/05/2017,14:27:24,Superficial
sis_igp_2017.137,POINT (-70.539 -16.2356),-70.539,-16.2356,6,3.6,22/05/2017,16:01:42,Superficial
sis_igp_2017.138,POINT (-70.5146 -16.2403),-70.5146,-16.2403,8,3.6,23/05/2017,07:02:49,Superficial
sis_igp_2017.139,POINT (-70.5678 -16.2367),-70.5678,-16.2367,22,3.1,23/05/2017,20:56:20,Superficial
sis_igp_2017.140,POINT (-70.5682 -16.2424),-70.5682,-16.2424,8,3.8,24/05/2017,00:47:05,Superficial
sis_igp_2017.141,POINT (-70.5419 -16.2137),-70.5419,-16.2137,17,3.7,24/05/2017,01:12:11,Superficial
sis_igp_2017.142,POINT (-70.5171 -16.2173),-70.5171,-16.2173,9,3.4,25/05/2017,14:51:05,Superficial
sis_igp_2017.143,POINT (-70.5249 -16.2556),-70.5249,-16.2556,23,3.4,27/05/2017,01:32:22,Superficial
sis_igp_2017.144,POINT (-74.5063 -16.0018),-74.5063,-16.0018,30,4.6,01/06/2017,15:09:21,Superficial
sis_igp_2017.145,POINT (-73.5641 -14.5666),-73.5641,-14.5666,7,4,05/06/2017,08:10:34,Superficial
sis_igp_2017.146,POINT (-80.6432 -4.1623),-80.6432,-4.1623,52,6,05/06/2017,11:34:08,Superficial
sis_igp_2017.147,POINT (-70.5396 -16.2236),-70.5396,-16.2236,7,4,06/06/2017,14:20:05,Superficial
sis_igp_2017.148,POINT (-80.5658 -4.2235),-80.5658,-4.2235,41,4.2,06/06/2017,20:34:52,Superficial
sis_igp_2017.149,POINT (-70.559 -16.1912),-70.559,-16.1912,12,3.4,06/06/2017,22:08:14,Superficial
sis_igp_2017.150,POINT (-80.6336 -4.1816),-80.6336,-4.1816,47,4.4,08/06/2017,04:27:40,Superficial
sis_igp_2017.151,POINT (-75.9161 -8.0052),-75.9161,-8.0052,168,5.4,08/06/2017,14:01:08,Intermedio
sis_igp_2017.152,POINT (-78.9896 -9.6212),-78.9896,-9.6212,44,4.7,08/06/2017,21:24:40,Superficial
sis_igp_2017.153,POINT (-72.3996 -16.3805),-72.3996,-16.3805,92,4.4,15/06/2017,18:27:06,Intermedio
sis_igp_2017.154,POINT (-71.7272 -15.7284),-71.7272,-15.7284,9,3.2,20/06/2017,01:34:03,Superficial
sis_igp_2017.155,POINT (-76.1496 -12.4535),-76.1496,-12.4535,101,4.2,24/06/2017,00:00:14,Intermedio
sis_igp_2017.156,POINT (-73.6162 -15.6573),-73.6162,-15.6573,94,6,24/06/2017,16:09:11,Intermedio
sis_igp_2017.157,POINT (-80.1861 -4.5327),-80.1861,-4.5327,92,4.6,25/06/2017,03:03:40,Intermedio
sis_igp_2017.158,POINT (-80.9138 -4.9402),-80.9138,-4.9402,41,4.5,25/06/2017,07:46:05,Superficial
sis_igp_2017.159,POINT (-76.8355 -12.7834),-76.8355,-12.7834,52,4.1,28/06/2017,09:48:12,Superficial
sis_igp_2017.160,POINT (-77.2056 -5.6129),-77.2056,-5.6129,37,4.8,28/06/2017,17:29:27,Superficial
sis_igp_2017.161,POINT (-77.27 -12.0321),-77.27,-12.0321,63,3.3,29/06/2017,05:55:35,Intermedio
sis_igp_2017.162,POINT (-77.183 -12.646),-77.183,-12.646,28,4.4,30/06/2017,08:36:24,Superficial
sis_igp_2017.163,POINT (-74.6966 -10.6487),-74.6966,-10.6487,45,4.5,01/07/2017,16:56:44,Superficial
sis_igp_2017.164,POINT (-74.056 -15.7763),-74.056,-15.7763,66,4.6,04/07/2017,16:33:58,Intermedio
sis_igp_2017.165,POINT (-78.64 -10.38),-78.64,-10.38,42,4.3,05/07/2017,07:19:30,Superficial
sis_igp_2017.166,POINT (-76.8129 -12.5254),-76.8129,-12.5254,51,3.6,06/07/2017,04:18:17,Superficial
sis_igp_2017.167,POINT (-78.4995 -10.5946),-78.4995,-10.5946,48,4.5,06/07/2017,23:23:06,Superficial
sis_igp_2017.168,POINT (-74.3562 -9.0453),-74.3562,-9.0453,160,4.8,08/07/2017,04:51:57,Intermedio
sis_igp_2017.169,POINT (-77.566 -11.8245),-77.566,-11.8245,54,4.8,09/07/2017,01:07:24,Superficial
sis_igp_2017.170,POINT (-72.7315 -16.38),-72.7315,-16.38,86,4.2,09/07/2017,05:02:27,Intermedio
sis_igp_2017.171,POINT (-71.0631 -17.1759),-71.0631,-17.1759,15,3.5,10/07/2017,08:12:01,Superficial
sis_igp_2017.172,POINT (-81.0602 -4.8401),-81.0602,-4.8401,47,3.8,11/07/2017,03:04:08,Superficial
sis_igp_2017.173,POINT (-76.3914 -14.4628),-76.3914,-14.4628,16,4.2,13/07/2017,05:12:52,Superficial
sis_igp_2017.174,POINT (-73.5921 -14.552),-73.5921,-14.552,12,4.1,14/07/2017,01:03:44,Superficial
sis_igp_2017.175,POINT (-78.3772 -12.2195),-78.3772,-12.2195,27,4.4,14/07/2017,11:27:28,Superficial
sis_igp_2017.176,POINT (-77.051 -11.0377),-77.051,-11.0377,118,4.6,14/07/2017,17:41:46,Intermedio
sis_igp_2017.177,POINT (-76.0683 -13.929),-76.0683,-13.929,44,3.8,17/07/2017,06:07:17,Superficial
